id,Baseline Brand,Baseline Product
356,Tesla,9
357,Kia,4
358,Tesla,11
359,Tesla,9
360,Tesla,9
361,Tesla,10
362,Kia,4
363,Kia,4
364,Tesla,9
365,Tesla,9
366,Chevrolet,2
367,Toyota,12
368,Tesla,11
369,Tesla,11
370,Kia,4
371,Tesla,11
372,Nissan,8
373,Jaguar,3
374,Tesla,11
375,Tesla,11
376,Tesla,11
377,Toyota,12
378,Tesla,11
379,Tesla,11
380,Tesla,11
381,Audi,1
382,Tesla,10
383,Toyota,12
384,Tesla,9
385,Tesla,11
386,Tesla,9
387,Kia,4
388,Tesla,11
389,Tesla,10
390,Toyota,12
391,Tesla,10
392,Tesla,11
393,Tesla,11
394,Tesla,11
395,Tesla,11
396,Kia,4
397,Tesla,9
398,Tesla,9
399,Tesla,9
400,Tesla,11
401,Kia,5
402,Tesla,11
403,Tesla,9
404,Tesla,9
405,Toyota,12
406,Tesla,9
407,Kia,5
408,Tesla,11
409,Tesla,9
410,Toyota,12
411,Tesla,9
412,Kia,5
413,VW,13
414,Tesla,9
415,Tesla,9
416,Kia,5
417,Toyota,12
418,Tesla,9
419,Kia,5
420,Tesla,9
421,Kia,5
422,Tesla,11
423,Tesla,9
424,Tesla,9
425,Kia,4
426,Audi,1
427,Tesla,9
428,Tesla,11
429,Kia,5
430,Tesla,10
431,Tesla,9
432,Tesla,11
433,Tesla,9
434,Kia,5
435,Tesla,9
436,Audi,1
437,Tesla,11
438,Tesla,11
439,Tesla,10
440,Nissan,7
441,Tesla,9
442,Audi,1
443,Tesla,9
444,Tesla,9
445,Tesla,11
446,Tesla,9
447,Toyota,12
448,Tesla,10
449,Tesla,11
450,Tesla,10
451,Tesla,9
452,Tesla,9
453,Toyota,12
454,Tesla,10
455,Nissan,8
456,Tesla,9
457,Tesla,11
458,Tesla,9
459,Kia,5
460,Tesla,9
461,Tesla,9
462,Tesla,10
463,Tesla,11
464,Tesla,9
465,Tesla,9
466,Chevrolet,2
467,Tesla,10
468,Tesla,9
469,Tesla,9
470,Tesla,9
471,Tesla,11
472,Chevrolet,2
473,Tesla,9
474,Toyota,12
475,Toyota,12
476,Chevrolet,2
477,Tesla,9
478,Tesla,10
479,Tesla,9
480,Kia,5
481,Tesla,9
482,Kia,5
483,Tesla,9
484,Kia,5
485,Tesla,9
486,Kia,5
487,Tesla,11
488,Chevrolet,2
489,Nissan,7
490,Kia,5
491,Toyota,12
492,Tesla,11
493,Toyota,12
494,Tesla,11
495,Chevrolet,2
496,Tesla,9
497,Nissan,8
498,Toyota,12
499,Kia,5
500,Toyota,12
501,Tesla,10
502,Tesla,9
503,Tesla,9
504,Tesla,10
505,Tesla,9
506,Toyota,12
507,Tesla,11
508,Tesla,9
509,Kia,5
510,Toyota,12
511,Tesla,9
512,Tesla,10
513,Tesla,9
514,Nissan,8
515,Tesla,11
516,Toyota,12
517,Toyota,12
518,Nissan,8
519,Audi,1
520,Tesla,9
521,Kia,5
522,Tesla,9
523,Tesla,9
524,Tesla,11
525,Tesla,11
526,Tesla,9
527,Kia,5
528,Toyota,12
529,Tesla,9
530,Kia,5
531,Tesla,9
532,Tesla,11
533,Tesla,9
534,Tesla,9
535,Kia,5
536,Kia,5
537,Kia,5
538,Tesla,9
539,Tesla,11
540,Tesla,10
541,Tesla,11
542,Kia,5
543,Tesla,9
544,Tesla,11
545,Toyota,12
546,Tesla,11
547,Tesla,11
548,Tesla,9
549,Kia,5
550,Tesla,9
551,Chevrolet,2
552,Kia,5
553,Tesla,10
554,Tesla,9
555,Tesla,11
556,Tesla,9
557,Chevrolet,2
558,Tesla,9
559,Tesla,11
560,Toyota,12
