id,segment,current brand,brand,brand,brand,brand,brand,brand,brand,brand,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,upfront_cost,upfront_cost,upfront_cost,upfront_cost,upfront_cost,term,term,term,vehicle_worth,vehicle_worth,vehicle_worth,vehicle_worth,vehicle_worth,range,range,range,range,range,charge,charge,charge,charge,charge,energy,energy,vehicle_type,vehicle_type
id,segment,current brand,Audi,Chevrolet,Jaguar,Kia,Nissan,Tesla,Toyota,VW,120,200,250,400,500,750,1000,1250,2000,4000,6000,8000,10000,24,36,48,20000,30000,40000,80000,100000,20,40,80,180,300,3,10,50,100,160,Electric Vehicle,Plug-in Hybrid,Sedan,SUV
1,Millenial,Tesla,-1.1423585940827472,0.7978746515771986,-0.6633529541644839,-1.1439640927080463,-0.5838144975166455,4.4556602817817055,-1.0012485176212775,-0.7187962772657044,4.481813641168873,3.8450085565269587,3.162545977722639,1.8266396371909068,0.007617377819050475,-1.123107499119099,-4.756081148943495,-7.444436542365838,0.27204517469687806,0.09394295079123771,-0.05795063996543004,-0.1304244282272008,-0.17761305729548482,0.42885197266382047,0.21993590050704004,-0.648787873170861,-3.311206403487949,-2.323068696537154,-1.407947631071945,2.321758411937285,4.720464319159765,-0.8826643712305966,-0.7048201878867651,-0.4034668435323001,0.4526978686910095,1.538253533958653,-0.5478489165357312,-0.48881747384450513,-0.142371587764563,0.33043992487829266,0.8485980532665068,-0.7039015726608304,0.7039015726608304,0.7771469934003487,-0.7771469934003487
2,Millenial,Tesla,-0.6717612649332898,0.25359835359776906,-0.6355688667429171,-1.1171774264113907,-0.8674679619164696,4.158305117287664,-0.039847280060453016,-1.0800806708209136,2.082318543987258,1.790222720123168,1.5513789021659818,0.9337619979633893,0.5180890800440938,-1.1012392703370546,-2.330416112697359,-3.4441158612494776,0.48507930462389254,0.13260835283096117,-0.14167543129737614,-0.02818994221969018,-0.44782228393778734,0.5439243518717536,0.005028172193499936,-0.5489525240652537,-1.568453761966367,-1.0845740775959514,-0.7985985460154514,1.0683592913851134,2.3832670941926564,-0.6392437230720717,-0.5120004388773014,-0.2630887178251863,0.4000444668622859,1.0142884129122733,-0.5373429663725106,-0.47646390629466506,-0.13447244815146675,0.32848628416554415,0.8197930366530981,-1.157799126177184,1.157799126177184,0.27263245237290107,-0.27263245237290107
3,Millenial,Tesla,-0.745402307158016,-0.788561415999881,-0.4441036260892487,-1.054465958397679,-0.5874773286208042,1.8076766683084058,2.1656639864637692,-0.35333001850654633,1.8424038704861625,1.6030207415931677,1.2315614210676928,0.8584890681769222,0.08494218610236226,-0.96760607834445,-1.8043520966395246,-2.848459112442332,0.33529820444146363,0.211862678624833,-0.07681316472675637,0.03600327415393845,-0.5063509924934786,0.14901467969337445,-0.031515557103637626,-0.1174991225897366,-3.458777178700172,-2.3292365357133824,-1.6823272856128666,2.6281085559436344,4.842232444082787,-0.7232263480127021,-0.5923543753715212,-0.32664704909571807,0.3960299480402001,1.2461978244397416,-0.47042314534156515,-0.41423887102882917,-0.11820412021363336,0.2895636311317251,0.7133025054523024,-1.081327673403527,1.081327673403527,-1.1275742373305353,1.1275742373305353
4,Millenial,Tesla,-0.012804548327926879,-0.26207339065136537,-0.9153950035605233,-1.089297381713261,-0.5635988513773723,2.4994025433719793,-0.10673217887151776,0.4504988111299877,4.67773891014246,3.809900606537434,3.1992025060075386,1.354796074252202,-0.03458892442322181,-2.6272968087887456,-3.9365526991740083,-6.443199664553655,0.4683412578941435,0.15371373636169294,0.012779679616601203,-0.14462146280078558,-0.4902132110716524,0.49761178109906457,-0.1992134408804307,-0.2983983402186339,-2.7610773455911573,-1.9998206082931365,-1.0532719921188973,2.222068806718423,3.5921011392847664,-0.4045061831737015,-0.32144080904726646,-0.15803924140418596,0.2215382697695666,0.6624479638555875,-0.41668329255398084,-0.3665307476357704,-0.11085843110669852,0.2204057056894681,0.6736667656069815,-0.7232601406436612,0.7232601406436612,1.0882988110310465,-1.0882988110310465
5,Millenial,Toyota,-0.9585424426633423,-1.035206952089656,-0.9771425921219473,-1.0804548099867186,-0.930493327112844,2.094378003593571,1.09215349418227,1.795308626198668,2.2662132613401083,1.5683408207606202,1.638319556694485,0.685292167349755,0.4980308737124557,-0.983016137345941,-1.7436713687825032,-3.9295091737289782,0.381772173770969,0.10196978713338312,0.030439412729422077,-0.07156002382915028,-0.44262134980462353,0.2674391846871754,0.06349539566218643,-0.3309345803493621,-2.386652695960687,-1.7025040116435726,-1.0753447340856668,1.5712048209041658,3.593296620785763,-0.7691328244597474,-0.6136393568494483,-0.2768573521581297,0.4396165347577736,1.2200129987095523,-0.31347343063540023,-0.2738529532363126,-0.08468936132081861,0.2056946143071524,0.4663211308853791,-0.9960158891921916,0.9960158891921916,1.5810857738253037,-1.5810857738253037
6,Millenial,Tesla,0.08867387072892574,-0.6221504155423396,0.26668129532293694,-0.8640727795408845,-0.7179523866889403,0.1085258172230783,-0.07330322351288066,1.8135978220101046,2.7800273790847676,2.3581402023998734,1.9282889619036354,1.4384825295293115,-0.5769814751598128,-0.4032926253406801,-3.282603926051273,-4.242061046365824,0.4762939806232422,0.27492758580249477,0.04815852220893235,-0.16423224500710232,-0.6351478436275666,0.1830562082046896,0.02991807085629672,-0.2129742790609862,-1.5469468961324055,-1.0334194932007308,-0.5906652940054378,1.1625493388521035,2.008482344486469,-1.1045549305291125,-0.8514407561173728,-0.4593687777841958,0.6254591052292915,1.78990535920139,-0.48541166642682915,-0.4285211402743089,-0.119288756567138,0.2820978290539309,0.7511237342143448,-0.6468154075169233,0.6468154075169233,0.8364262947566552,-0.8364262947566552
7,Millenial,Tesla,-0.6986394674628359,-1.034844506180449,-0.8667353576539725,-1.0784985235089657,-0.32935294930429626,2.006772188137754,1.0924384684189823,0.9088601475537827,3.614066063721799,2.892576935959327,2.191647682010532,1.3476033166784798,0.4397710667598682,-0.8645750467019724,-5.017474149629194,-4.603615868798844,0.3771167390250244,0.12453617154842828,0.009860475751763298,-0.20289837771831998,-0.30861500860689606,0.680964341552605,0.089753850973749,-0.7707181925263531,-1.2911388609608159,-0.9478708815491066,-0.5699588298288139,0.9238028540887551,1.885165718249981,-0.44715812142870026,-0.35489148040006924,-0.1857759343866267,0.22614820369386124,0.7616773325215348,-0.39797128353581723,-0.3519845301904382,-0.09704352446413977,0.20685560901467376,0.6401437291757213,-1.0992895556728284,1.0992895556728284,-0.4027026550678523,0.4027026550678523
8,Millenial,Tesla,-0.972545839502188,-0.709644754187623,-0.6515188299386254,-0.9829004087112099,-0.8043848227871416,5.291028747876912,-0.1994007834460113,-0.9706333093041125,4.40123472976524,3.240100714987651,2.779498592315386,1.583441143988805,0.107130711344543,-1.7242194572576848,-5.308052293743603,-5.0791341414003375,0.31318509848128934,0.14932937786496575,-0.03631147822716385,-0.17186170812194534,-0.2543412899971459,0.2716484691560016,0.06957038228444146,-0.3412188514404427,-2.1840452869398455,-1.5080638257754395,-0.9476086150625602,1.755752506584476,2.8839652211933693,-0.7996388148406046,-0.6532552908271276,-0.32551069414109923,0.4400795492382359,1.3383252505705954,-0.347604551221309,-0.3017353907277444,-0.06672513863397789,0.18681717596082487,0.5292479046222063,-0.8413725310888504,0.8413725310888504,0.48849733444419174,-0.48849733444419174
9,Millenial,Tesla,-0.8499749983114882,-0.13093716156347124,-0.5678130303860249,-0.3056032803294768,-0.1587519518927759,1.4619347919562555,0.17588674110300095,0.37525888942398034,4.514003875310367,3.113855424736724,3.3441717089176697,1.9652359389193959,1.0521571261409752,-2.8812852627240337,-4.550602046114126,-6.557536765186971,0.6876354287670197,0.39868888195954333,0.07947290516204686,-0.4495937933134475,-0.7162034225751621,0.3762188769904702,0.03532329078254526,-0.4115421677730152,-2.3250683225627427,-1.7260186879198474,-1.0266882787658367,2.072676388920587,3.005098900327842,-1.003297774545952,-0.8093428025901842,-0.4290307366614746,0.5985059380315252,1.6431653757660851,-0.5116406996681783,-0.456342838730344,-0.12758955150006324,0.32152222867651603,0.7740508612220698,-0.9349455068089397,0.9349455068089397,0.5780893347118351,-0.5780893347118351
10,Millenial,Tesla,-0.032283391306357045,-0.48609545065454907,0.3303298889349957,-0.7589289888433418,0.9267942066730945,1.3017750315734928,-0.5536889372566091,-0.7279023591207254,6.172546045748202,4.079739596898545,3.6029713863415562,2.310308586840062,1.3631664484323034,-3.242675316184707,-4.1008928886291915,-10.185163859446773,0.12609210508971536,0.08973158693355474,-0.015586380119055915,-0.10108045357980394,-0.09915685832441024,0.6426942091022549,-0.23351391667681254,-0.40918029242544196,-1.4925802267094284,-0.9942363204751239,-0.48343409781110824,1.3495870405448884,1.620663604450772,-0.7709296492446733,-0.6259415934705244,-0.27020693800366447,0.34687586842913354,1.3202023122897284,-0.5886884719352897,-0.5241352138855148,-0.11746973578153719,0.3636964397107979,0.8665969818915439,-1.146133562043961,1.146133562043961,-0.8759769063069396,0.8759769063069396
11,Millenial,Tesla,0.507879646525959,-0.7627566774303495,-0.6583424981428608,-1.0444235463974059,1.0986984034850722,1.4302839388952053,-0.15293246423937945,-0.41840680269623987,5.3719264707484164,4.911765227541473,3.877743895342179,2.368801999948288,0.6274109023735326,-1.8167305932586473,-5.4158168090890975,-9.925101093606143,0.5144120885914589,0.21829278277184472,0.01448858064806946,-0.3564476569413808,-0.39074579506999263,0.801642594177802,-0.0468735487089984,-0.7547690454688034,-2.511138849757768,-1.782578196057198,-1.163032686155152,1.885304969604788,3.571444762365327,-0.47741450569259003,-0.38155567570187265,-0.19046131731390037,0.2589639498405798,0.7904675488677834,-0.45789033226552234,-0.4100432207320619,-0.11292305001047315,0.2268468638122627,0.7540097391957947,-0.8174229932087805,0.8174229932087805,-1.2877755507796602,1.2877755507796602
12,Millenial,Tesla,-1.0284720328962296,-0.5402908789905542,0.14077836170486613,-1.065858845774919,-0.6148356180554533,2.3760203853016453,1.399406331832619,-0.6667477031219742,5.4633167388981825,4.60374545701661,3.8671243965597704,1.3421394101169195,0.5503826421636573,-2.057969442983773,-4.655998393162725,-9.112740808608635,0.5164866788371472,0.2210324608629215,0.07319330478268737,-0.23046604410287175,-0.5802464003798843,0.35978342450790435,-0.08595079537475292,-0.2738326291331513,-1.1578007774483325,-0.893139515873415,-0.5616545915100388,0.8159133429870522,1.796681541844734,-0.7585730864529491,-0.6034702539459406,-0.28880134149079373,0.4134401457390319,1.2374045361506512,-0.46843906512438455,-0.41351474546356276,-0.10358252042463206,0.2633771016438251,0.7221592293687542,-1.0510258996621265,1.0510258996621265,1.2139936208833606,-1.2139936208833606
13,Millenial,Tesla,-0.6203776914177974,-0.6514099045029123,-1.1345310631229197,-1.1362405340672692,-0.2955977889764625,4.067353148583206,-0.42326256600369583,0.19406639950785087,0.5122191721513388,0.4517451819159486,0.3672325193559254,0.1965637900952122,0.13281679342398323,-0.1758187433454368,-0.4062900475443887,-1.0784686660525822,0.7118851838276293,0.3393096546677128,0.0669654491539734,-0.3799193526565612,-0.7382409349927548,0.8607579687166329,-0.23108948044022437,-0.6296684882764079,-1.3546059623468392,-0.9408988246140217,-0.49602886766514986,1.1587750960922185,1.6327585585337925,-0.5117538690943018,-0.40364899710368446,-0.21019504040421,0.239486990709609,0.886110915892587,-0.5622211908283301,-0.4910741814841063,-0.13577893455846685,0.32776850090248366,0.8613058059684193,-1.8381233277571136,1.8381233277571136,-0.3261921628727055,0.3261921628727055
14,Millenial,Tesla,-0.5230418793690308,-0.8376400497141567,-0.7424161962849911,-0.1773136114551117,-0.6485170052107795,4.250649157938861,-0.5565366235555864,-0.7651837923492042,4.751396405139678,4.5325047192409205,3.763793982186047,2.063034738686657,1.1652751222826305,-3.2015986460890113,-5.179175410626175,-7.8952309108207475,0.3183443674112887,0.2281556056744231,-0.06290772385562399,-0.12807588819022403,-0.35551636103986367,0.6462847462968722,0.08181944226849325,-0.7281041885653647,-2.574388865472142,-1.7271273472127988,-0.9179979290907383,1.9449105805720475,3.274603561203632,-1.0312627833098686,-0.8187250539942758,-0.3920768818218784,0.48151372794419256,1.7605509911818293,-0.3408658630724758,-0.2993254144897888,-0.0762530324062835,0.21082508204854833,0.5056192279199997,-0.8886449589691101,0.8886449589691101,-0.058696407087283076,0.058696407087283076
15,Millenial,Tesla,-1.1070611533264776,-0.7902465109957844,-1.143779137051254,-1.150833247300483,-0.7753062122430459,4.526653073665704,0.6323374799331796,-0.19176429268183948,7.265103560132692,5.4964369524868,4.609254846777083,2.0783568520320905,2.350141141466392,-3.819758985566697,-7.076194605372372,-10.90333976195599,0.33717397435937657,0.1363318364279223,0.166269068545562,-0.24198394849701121,-0.3977909308358495,0.8753412197562327,-0.28300401851400014,-0.5923372012422319,-2.979974218563835,-2.176290552351346,-1.1300517859234978,2.337638844066799,3.9486777127718797,-0.39885612686308003,-0.3176982718302632,-0.20213475724163138,0.2591086720040069,0.6595804839309679,-0.5348530208958513,-0.4751929760843228,-0.12834018698035715,0.2894240451483897,0.8489621388121417,-1.009310506069827,1.009310506069827,0.7816323835761558,-0.7816323835761558
16,Millenial,Audi,0.06872045602001298,-0.4809483889188003,-0.009935706559760837,-1.0039850868318672,-0.6202012564634065,2.8096922914413227,-0.2733292057897758,-0.4900131028977259,7.413162366444146,5.983210949489611,4.737437185446229,2.514072823989303,0.14767893852985203,0.5459615354503313,-10.998764852800877,-10.342758946548594,0.3788893746047196,0.22312478344964543,0.1311203178497447,-0.20208875940412063,-0.5310457164999891,0.14139166276445514,0.14566910164900815,-0.2870607644134633,-0.4597819334768702,-0.2840451422340101,-0.1934277329166202,0.27224059463492234,0.6650142139925779,-0.5372952493923583,-0.42655410755501094,-0.2198997801494939,0.2822907695634984,0.9014583675333651,-0.5133725423156452,-0.4604752858893534,-0.11854248156308866,0.3263571677920959,0.7660331419759916,-0.9496309822782744,0.9496309822782744,-0.7289328558923935,0.7289328558923935
17,Millenial,Tesla,-1.1912312018968056,-0.9463077870690126,-1.2030716023249122,-1.1993870100797708,-0.3266987415482807,5.26395594160584,-0.48731916437543044,0.09005956568837226,2.3130544127773485,1.9156715654457817,1.5721026780256884,1.0500325500004024,0.07469081552742285,-0.957656067525912,-2.954984598545758,-3.0129113557049734,0.310779896877441,0.0955298722098275,0.005288641251736892,-0.15168789154739892,-0.25991051879160676,0.8730539923511038,0.19074280403766863,-1.0637967963887727,-3.8755502838001488,-2.921991394331903,-1.7816623787709727,2.7816103901331033,5.79759366676992,-0.4817558584791011,-0.3967145440751225,-0.2025988754766081,0.25255952038182816,0.8285097576490034,-0.23651203776900898,-0.21065331576808655,-0.06062909071119396,0.1561593508908428,0.3516350933574467,-0.3866001221414288,0.3866001221414288,0.9573246983217003,-0.9573246983217003
18,Millenial,Tesla,-0.6591684358818546,-0.6992820458808842,-1.0576206217919457,-1.1276173873800555,-0.28168484759475554,2.9734642844484127,0.36183403654824264,0.490075017532841,2.040637403017718,1.7978977328208794,1.5809101045052019,0.6295684546693672,0.5339613713908897,-0.3055379318950431,-2.711307486494333,-3.56612964801468,0.31851802132032525,0.09807681035649823,0.037545057561269524,-0.12879257236008673,-0.3253473168780064,0.47121707570390736,-0.027122369034846994,-0.4440947066690599,-2.13580191004091,-1.4265570278495856,-0.817434824572715,1.3351016053439464,3.044692157119263,-0.35841296070811407,-0.28872066755305775,-0.1441433191129603,0.1857103272180859,0.6055666201560463,-0.5289896741820812,-0.4669150548396678,-0.15937482079027881,0.3073228006088048,0.8479567492032232,-1.3098107549995157,1.3098107549995157,-1.138203365711048,1.138203365711048
19,Millenial,Tesla,-0.8209285932438409,0.32203783711335854,-0.8124960710451699,-0.8303065629737215,-0.07543486804666255,2.921437426477087,-0.676068695360626,-0.028240472920424975,2.9756538391044405,2.409139614522659,2.1122521521497073,0.6980229200293095,0.5435178013641813,-2.343673110654976,-2.3633274813545033,-4.031585735160821,0.2303873974519897,0.047714968003239544,0.045272035083953666,-0.06678987475811116,-0.25658452578107177,0.47063353373592154,0.11046586201307074,-0.5810993957489925,-2.8465262901819273,-2.154387492385539,-1.0576401190364888,2.2883722526319454,3.7701816489720077,-0.8461548487643957,-0.666015455938608,-0.36524633997998124,0.4744082863794383,1.4030083583035464,-0.504404068202019,-0.45285234802973107,-0.11005009069512356,0.31268078494208396,0.7546257219847897,-1.0081876260473714,1.0081876260473714,-1.1318656340085735,1.1318656340085735
20,Millenial,Tesla,-1.1366352454444695,-1.0093679418554884,-0.6588095729718251,-1.0749553058757135,1.095050787154823,3.173245744345838,0.2549786319949925,-0.6435070973481568,3.565533508923084,3.141596710048609,2.0397847967868317,1.470908288620313,0.5011168415591198,-0.7167018483183627,-2.492668053276911,-7.509570244342686,0.2630848003865609,0.16912944390185589,0.0059698544861785385,-0.22948035128067945,-0.20870374749391596,0.44246239233235385,0.1155081483835958,-0.5579705407159501,-2.21054005109087,-1.6385665309920816,-0.9852543533459066,2.042999186505166,2.7913617489236913,-0.36124457096496065,-0.2896858790826236,-0.1587486883189006,0.17937890303763726,0.6303002353288473,-0.19423653922936135,-0.17112327282090606,-0.04334024265490202,0.11795452210392254,0.29074553260124686,-1.2361468326504021,1.2361468326504021,1.9022796349267255,-1.9022796349267255
21,Millenial,Toyota,-0.7885724759783179,-0.852848881773463,-0.6170457536519057,-1.0178023365006466,1.5760568818425336,1.214334728715039,1.2907842972396937,-0.8049064598929339,2.961937923980583,2.186210497323387,2.3087523381332913,0.958821069918971,0.36310992568117806,-1.5143025195472486,-3.579360601059518,-3.685168634430644,0.6705058329865051,0.3084214658532667,-0.03804909314404836,-0.19280175406029232,-0.7480764516354309,0.4618598209191196,0.14112645043987437,-0.6029862713589942,-3.061441601507341,-2.2230544359800395,-1.2761939753164446,2.4615563594948897,4.099133653308936,-0.4724480765848606,-0.3771800379531134,-0.19114767276859657,0.20691762481439735,0.8338581624921734,-0.3377956213763316,-0.2994127402936501,-0.10500240749258605,0.1677988995482949,0.574411869614273,-0.932604610047784,0.932604610047784,-0.7825113561155093,0.7825113561155093
22,Millenial,Chevrolet,-0.3909801727771296,-0.529411745008729,-0.5840906890593184,-0.7943023615524436,0.07160701304557615,1.976750448822992,0.2341019870506993,0.01632551947835259,3.5002823837120633,3.1591055275696753,2.107759685498846,0.5510435532094116,0.35457553251748397,-1.4435514769054878,-3.675937032276771,-4.553278173325225,0.31919504113812636,0.11927434004578874,-0.035946722493970684,-0.12564674532812525,-0.2768759133618188,1.0433218088687362,-0.11752082583780066,-0.9258009830309359,-1.0599699181671138,-0.8284024310462588,-0.47076208591850865,0.8993685296787617,1.4597659054531191,-0.5600960142235801,-0.4502767042295479,-0.23006399840254976,0.3247100411365007,0.9157266757191771,-0.29615001626417037,-0.2633950579210106,-0.06295213324280735,0.171548333813071,0.4509488736149174,-0.789373863465126,0.789373863465126,0.6801519542181422,-0.6801519542181422
23,Millenial,Tesla,-1.075739143132723,-1.066995274610185,-0.9068857652215908,-1.0761923234019857,0.832877772410139,3.333205346001453,0.9978761644801415,-1.0381467765252466,1.6594057372025122,1.2777547063504628,1.255729824729957,0.9226397861566655,0.41702895457101086,-0.9340722458958512,-1.3761652619557871,-3.2223215011589716,0.5626347061884664,0.22344173373105858,0.03234113353794055,-0.1689803326913163,-0.6494372407661493,0.9752549137769393,-0.17055432505796464,-0.804700588718974,-1.2986176192581738,-0.9685478246669834,-0.4634121053077327,0.9851765639884005,1.7454009852444887,-0.533914578975317,-0.42726628055401833,-0.20891091955167845,0.29002308824961276,0.8800686908314015,-0.6329450332413364,-0.5529169504112404,-0.18964544726576843,0.352372716925499,1.0231347139928464,-0.8221799448971865,0.8221799448971865,-0.181107660605483,0.181107660605483
24,Millenial,Tesla,-0.5000460923496691,-0.30958703546173005,-0.2669596493301089,-0.2425935291316162,-0.34948386332582004,0.7554224911940121,1.306185653770286,-0.39293797536535374,1.889324482997837,1.5353982302490063,1.3740054765732301,0.629421088299134,0.034178093295911705,-0.49463823611115565,-2.0684436074134314,-2.8992455278905322,0.16994930211516884,0.08598588690697268,0.05722954227675675,-0.09337854858931366,-0.2197861827095846,1.1847406460725147,0.1859932164608935,-1.3707338625334082,-3.0281271448153513,-1.8616013017795296,-1.2496773734337712,2.360539252647855,3.7788665673807973,-0.22030666237148835,-0.17450638385862305,-0.09716784798799841,0.1374526241179324,0.3545282701001774,-0.49894903727254997,-0.4426100327861725,-0.1393103934303101,0.26727198097630234,0.8135974825127301,-0.6343166818516758,0.6343166818516758,-1.8064947593550844,1.8064947593550844
25,Millenial,Tesla,-1.0307989420098709,-0.65093453481687,-0.6726251216898359,-1.1200918135212696,-1.061504596463197,3.730832693887301,0.5706424175112079,0.23447989710253614,3.1966948499152896,2.420429753683317,2.2000934755593313,0.8953200391261915,1.0120524934267112,-1.2492653322336076,-3.5316040883014117,-4.943721191175818,0.34914442496070186,0.24164735824735334,-0.022158517338366157,-0.21003188451735988,-0.3586013813523291,0.27432378571796256,-0.2035158855527579,-0.07080790016520488,-2.9133615066839784,-2.0368704169083425,-1.0248168126639698,2.1504794531053486,3.824569283150945,-0.8781101176806128,-0.7058297078974303,-0.38799951701371094,0.4607006059339418,1.5112387366578128,-0.1641475841920149,-0.1466358315020774,-0.03948383324909566,0.09132087236900804,0.25894637657417996,-1.3183904557145238,1.3183904557145238,0.554828700307599,-0.554828700307599
26,Millenial,Tesla,0.1746900079140491,0.23635848901143663,-0.078254177511899,-0.7437478180330077,0.3836928964475049,-0.39144551534573885,0.6502793099296221,-0.2315731924119676,1.4266854846364327,0.9998716046628552,0.8568095733644652,0.428524639019763,0.3084299942791313,-0.4053556306591535,-1.6603405886629807,-1.9546250766405135,0.3187052404984964,0.22147635409116684,-0.020023679390421933,-0.2350384420445123,-0.2851194731547291,0.3133272961150248,-0.12667927612736118,-0.18664801998766378,-3.3854344570974297,-2.2973072172545788,-1.3010064994263066,2.413852266273121,4.569895907505196,-0.8702929674463783,-0.6923007737566933,-0.34807949573915353,0.4347921899141658,1.47588104702806,-0.10636205220179622,-0.09402162436616755,-0.020827069700919368,0.05874360546794262,0.16246714080094055,-0.7771850254243009,0.7771850254243009,0.057406412110886484,-0.057406412110886484
27,Millenial,Tesla,-0.8370011398549924,-0.9324880996901818,-0.2638350904930472,-0.9577448705140191,-0.7284998831442081,3.540220005276301,0.35304131320703713,-0.17369223478689033,3.494614298507104,2.8725776399153538,2.563054470417332,1.1407917235795701,-0.20031732644754197,-1.5971266762085712,-1.8191322213907428,-6.454461908372509,0.4182680486009236,0.14986213618686028,-0.029995347973762687,-0.19107294072085346,-0.34706189609316784,0.507647801056272,-0.07694090722089708,-0.4307068938353751,-1.6738092134279592,-1.1230682243119792,-0.8215890735345908,1.3476757301994757,2.2707907810750534,-0.39748865770118963,-0.3261411662736238,-0.1548448070680814,0.251338023575504,0.6271366074673912,-0.6207463216883375,-0.5527448101491641,-0.16258676249740478,0.3813338803549985,0.9547440139799078,-0.9464704355712736,0.9464704355712736,1.3141626482356146,-1.3141626482356146
